N,Iterative,Dynamic Programming,Recursive
1,0,0,1
2,1,1,3
3,2,2,5
4,3,3,9
5,4,4,15
6,5,5,25
7,6,6,41
8,7,7,67
9,8,8,109
10,9,9,177
11,10,10,287
12,11,11,465
13,12,12,753
14,13,13,1219
15,14,14,1973
16,15,15,3193
17,16,16,5167
18,17,17,8361
19,18,18,13529
20,19,19,21891
21,20,20,35421
22,21,21,57313
23,22,22,92735
24,23,23,150049
25,24,24,242785
26,25,25,392835
27,26,26,635621
28,27,27,1028457
29,28,28,1664079
30,29,29,2692537
31,30,30,4356617
32,31,31,7049155
33,32,32,11405773
34,33,33,18454929
35,34,34,29860703
36,35,35,48315633
37,36,36,78176337
38,37,37,126491971
39,38,38,204668309
40,39,39,331160281
41,40,40,-
42,41,41,-
43,42,42,-
44,43,43,-
45,44,44,-
46,45,45,-
47,46,46,-
48,47,47,-
49,48,48,-
50,49,49,-
51,50,50,-
52,51,51,-
53,52,52,-
54,53,53,-
55,54,54,-
56,55,55,-
57,56,56,-
58,57,57,-
59,58,58,-
60,59,59,-
61,60,60,-
62,61,61,-
63,62,62,-
64,63,63,-
65,64,64,-
66,65,65,-
67,66,66,-
68,67,67,-
69,68,68,-
70,69,69,-
71,70,70,-
72,71,71,-
73,72,72,-
74,73,73,-
75,74,74,-
76,75,75,-
77,76,76,-
78,77,77,-
79,78,78,-
80,79,79,-
81,80,80,-
82,81,81,-
83,82,82,-
84,83,83,-
85,84,84,-
86,85,85,-
87,86,86,-
